AvailabilityZone,InstanceType,ProductDescription,SpotPrice,Timestamp
ap-southeast-2b,m5.large,SUSE Linux (Amazon VPC),0.1363,2019-12-31
ap-southeast-2a,m5.large,SUSE Linux (Amazon VPC),0.1362,2019-12-31
ap-southeast-2b,m5.large,Linux/UNIX (Amazon VPC),0.0363,2019-12-31
ap-southeast-2a,m5.large,Linux/UNIX (Amazon VPC),0.0362,2019-12-31
ap-southeast-2b,g2.2xlarge,Red Hat Enterprise Linux (Amazon VPC),0.3994,2019-12-31
ap-southeast-2a,g2.2xlarge,Red Hat Enterprise Linux (Amazon VPC),0.3994,2019-12-31
ap-southeast-2b,g2.2xlarge,SUSE Linux (Amazon VPC),0.3694,2019-12-31
ap-southeast-2a,g2.2xlarge,SUSE Linux (Amazon VPC),0.3694,2019-12-31
ap-southeast-2b,g2.2xlarge,Linux/UNIX (Amazon VPC),0.2694,2019-12-31
ap-southeast-2a,g2.2xlarge,Linux/UNIX (Amazon VPC),0.2694,2019-12-31
ap-southeast-2b,g2.2xlarge,Windows (Amazon VPC),0.4294,2019-12-31
ap-southeast-2a,g2.2xlarge,Windows (Amazon VPC),0.4294,2019-12-31
ap-southeast-2b,g2.2xlarge,Windows,0.4294,2019-12-31
ap-southeast-2a,g2.2xlarge,Windows,0.4294,2019-12-31
ap-southeast-2b,m4.4xlarge,Windows (Amazon VPC),1.0116,2019-12-31
ap-southeast-2c,m4.4xlarge,Windows (Amazon VPC),1.0116,2019-12-31
ap-southeast-2a,m4.4xlarge,Windows (Amazon VPC),1.0116,2019-12-31
ap-southeast-2b,m4.4xlarge,Red Hat Enterprise Linux (Amazon VPC),0.4056,2019-12-31
ap-southeast-2c,m4.4xlarge,Red Hat Enterprise Linux (Amazon VPC),0.4117,2019-12-31
ap-southeast-2a,m4.4xlarge,Red Hat Enterprise Linux (Amazon VPC),0.4056,2019-12-31
ap-southeast-2b,m4.4xlarge,SUSE Linux (Amazon VPC),0.3756,2019-12-31
ap-southeast-2c,m4.4xlarge,SUSE Linux (Amazon VPC),0.3817,2019-12-31
ap-southeast-2a,m4.4xlarge,SUSE Linux (Amazon VPC),0.3756,2019-12-31
ap-southeast-2b,m4.4xlarge,Linux/UNIX (Amazon VPC),0.2756,2019-12-31
ap-southeast-2c,m4.4xlarge,Linux/UNIX (Amazon VPC),0.2817,2019-12-31
ap-southeast-2a,m4.4xlarge,Linux/UNIX (Amazon VPC),0.2756,2019-12-31
ap-southeast-2b,g2.2xlarge,Red Hat Enterprise Linux,0.3994,2019-12-31
ap-southeast-2a,g2.2xlarge,Red Hat Enterprise Linux,0.3994,2019-12-31
ap-southeast-2b,g2.2xlarge,SUSE Linux,0.3694,2019-12-31
ap-southeast-2a,g2.2xlarge,SUSE Linux,0.3694,2019-12-31
ap-southeast-2b,g2.2xlarge,Linux/UNIX,0.2694,2019-12-31
ap-southeast-2a,g2.2xlarge,Linux/UNIX,0.2694,2019-12-31
ap-southeast-2b,t3.2xlarge,Windows (Amazon VPC),0.2739,2019-12-31
ap-southeast-2c,t3.2xlarge,Windows (Amazon VPC),0.2739,2019-12-31
ap-southeast-2a,t3.2xlarge,Windows (Amazon VPC),0.2739,2019-12-31
ap-southeast-2b,t3.2xlarge,Red Hat Enterprise Linux (Amazon VPC),0.2567,2019-12-31
ap-southeast-2c,t3.2xlarge,Red Hat Enterprise Linux (Amazon VPC),0.2567,2019-12-31
ap-southeast-2a,t3.2xlarge,Red Hat Enterprise Linux (Amazon VPC),0.2567,2019-12-31
ap-southeast-2b,t3.2xlarge,SUSE Linux (Amazon VPC),0.2267,2019-12-31
ap-southeast-2c,t3.2xlarge,SUSE Linux (Amazon VPC),0.2267,2019-12-31
ap-southeast-2a,t3.2xlarge,SUSE Linux (Amazon VPC),0.2267,2019-12-31
ap-southeast-2b,t3.2xlarge,Linux/UNIX (Amazon VPC),0.1267,2019-12-31
ap-southeast-2c,t3.2xlarge,Linux/UNIX (Amazon VPC),0.1267,2019-12-31
ap-southeast-2a,t3.2xlarge,Linux/UNIX (Amazon VPC),0.1267,2019-12-31
ap-southeast-2b,r5ad.16xlarge,Red Hat Enterprise Linux (Amazon VPC),1.4094,2019-12-31
ap-southeast-2c,r5ad.16xlarge,Red Hat Enterprise Linux (Amazon VPC),1.4094,2019-12-31
ap-southeast-2a,r5ad.16xlarge,Red Hat Enterprise Linux (Amazon VPC),1.4094,2019-12-31
ap-southeast-2b,r5ad.16xlarge,SUSE Linux (Amazon VPC),1.3794,2019-12-31
ap-southeast-2c,r5ad.16xlarge,SUSE Linux (Amazon VPC),1.3794,2019-12-31
ap-southeast-2a,r5ad.16xlarge,SUSE Linux (Amazon VPC),1.3794,2019-12-31
ap-southeast-2b,r5ad.16xlarge,Linux/UNIX (Amazon VPC),1.2794,2019-12-31
ap-southeast-2c,r5ad.16xlarge,Linux/UNIX (Amazon VPC),1.2794,2019-12-31
ap-southeast-2a,r5ad.16xlarge,Linux/UNIX (Amazon VPC),1.2794,2019-12-31
ap-southeast-2b,r5ad.16xlarge,Windows (Amazon VPC),4.2234,2019-12-31
ap-southeast-2c,r5ad.16xlarge,Windows (Amazon VPC),4.2234,2019-12-31
ap-southeast-2a,r5ad.16xlarge,Windows (Amazon VPC),4.2234,2019-12-31
ap-southeast-2b,m3.large,Windows (Amazon VPC),0.1588,2019-12-31
ap-southeast-2c,m3.large,Windows (Amazon VPC),0.312,2019-12-31
ap-southeast-2a,m3.large,Windows (Amazon VPC),0.1588,2019-12-31
